shs_year,flat_type,gender,lfpr
2008,1-room,Male,66.9
2008,1-room,Female,42.6
2008,1-room,All,55.7
2008,2-room,Male,69.5
2008,2-room,Female,43.3
2008,2-room,All,55.9
2008,3-room,Male,75.6
2008,3-room,Female,51.8
2008,3-room,All,63.2
2008,4-room,Male,75.8
2008,4-room,Female,52.7
2008,4-room,All,64.2
2008,5-room,Male,75.6
2008,5-room,Female,55.6
2008,5-room,All,65.4
2008,Executive,Male,75.8
2008,Executive,Female,55.1
2008,Executive,All,64.9
2008,All,Male,75.4
2008,All,Female,53.1
2008,All,All,64
2013,1-room,Male,63
2013,1-room,Female,41.1
2013,1-room,All,52.8
2013,2-room,Male,68.3
2013,2-room,Female,46.3
2013,2-room,All,59.7
2013,3-room,Male,74
2013,3-room,Female,55.4
2013,3-room,All,64.2
2013,4-room,Male,76.5
2013,4-room,Female,57.2
2013,4-room,All,66.6
2013,5-room,Male,75.3
2013,5-room,Female,55.9
2013,5-room,All,65.3
2013,Executive,Male,70.9
2013,Executive,Female,54.5
2013,Executive,All,62.6
2013,All,Male,74.6
2013,All,Female,55.8
2013,All,All,64.9
2018,1-room,Male,57.4
2018,1-room,Female,43.4
2018,1-room,All,50.5
2018,2-room,Male,65
2018,2-room,Female,43.1
2018,2-room,All,53.9
2018,3-room,Male,71
2018,3-room,Female,54
2018,3-room,All,62
2018,4-room,Male,75.1
2018,4-room,Female,58.9
2018,4-room,All,66.7
2018,5-room,Male,72.8
2018,5-room,Female,57.5
2018,5-room,All,65
2018,Executive,Male,69.7
2018,Executive,Female,56.8
2018,Executive,All,63.1
2018,All,Male,72.6
2018,All,Female,56.6
2018,All,All,64.3
